season,school,state_place,state_score,sex,n_finishers_raw,n_finishers,star_z,depth_z,pack_gap,star_time,depth_time,canonical,sector,wcac,enrollment_9_12,aliases,log_enrollment,lag_star_z,lag_depth_z,lag_pack_gap,lag_state_place,lag_state_score,fit_set,holdout,score_source
2024,KIPP DC College Prep,17,292,,7,7,-0.8735676615055032,0.4852253721234574,1.3587930336289606,1121.72,1486.06,KIPP DC College Prep,charter,0,700,KIPP DC College Prep;Kipp Dc: College Prep;Kipp Dc: Col;KIPP DC,6.551080335043404,0.18024653401230448,0.8296993708540554,0.6494528368417509,14.0,368.0,True,False,reconstructed_from_individuals
2025,KIPP DC College Prep,14,394,M,6,6,0.3012016568960843,1.7310863298912307,1.4298846729951464,1221.14,1461.03,KIPP DC College Prep,charter,0,700,KIPP DC College Prep;Kipp Dc: College Prep;Kipp Dc: Col;KIPP DC,6.551080335043404,-0.8735676615055032,0.4852253721234574,1.3587930336289606,17.0,292.0,False,True,posted_team_table
2025,MacArthur,13,354,M,7,7,-0.3720463893534548,1.05002991763384,1.4220763069872948,1108.19,1346.77,MacArthur,public,0,400,MacArthur,5.991464547107982,,,,,,False,False,posted_team_table
2021,Maret,7,222,M,4,4,-0.3064183324439404,,,1148.39,,Maret,private,0,320,Maret;Maret School,5.768320995793772,,,,,,False,False,posted_team_table
2022,Maret,7,209,,7,7,-0.3025500968455065,0.24119272955475518,0.5437428264002617,1186.9,1263.3,Maret,private,0,320,Maret;Maret School,5.768320995793772,-0.3064183324439404,,,7.0,222.0,False,False,reconstructed_from_individuals
2023,Maret,8,277,M,6,6,-0.3855261793668053,0.6176088836272452,1.0031350629940505,1120.82,1306.51,Maret,private,0,320,Maret;Maret School,5.768320995793772,-0.3025500968455065,0.24119272955475518,0.5437428264002617,7.0,209.0,True,False,posted_team_table
2024,Maret,8,245,M,25,7,-1.0322563687045816,-0.5958344529246481,0.4364219157799335,1079.17,1196.19,Maret,private,0,320,Maret;Maret School,5.768320995793772,-0.3855261793668053,0.6176088836272452,1.0031350629940505,8.0,277.0,True,False,posted_team_table
2025,Maret,9,264,M,7,7,-0.7296814736825591,0.811308498844163,1.540989972526722,1048.19,1306.72,Maret,private,0,320,Maret;Maret School,5.768320995793772,-1.0322563687045816,-0.5958344529246481,0.4364219157799335,8.0,245.0,False,True,posted_team_table
2021,McKinley Technology,11,271,M,4,4,-0.11620608349684723,,,1198.48,,McKinley Technology,public,0,620,McKinley Technology;McKinley Tech;McKinley Tec;McKinley Tech High School;McKinley Technology High,6.429719478039138,,,,,,False,False,posted_team_table
2023,McKinley Technology,12,301,M,5,5,-0.22151529826120192,0.824189123860389,1.045704422121591,1151.18,1344.75,McKinley Technology,public,0,620,McKinley Technology;McKinley Tech;McKinley Tec;McKinley Tech High School;McKinley Technology High,6.429719478039138,-0.11620608349684723,,,11.0,271.0,False,False,posted_team_table
